Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
P_Gollini     24 ita 22  1  1  1  1 503 300 300 300   3   0  290   0  20   4   0   0   0   0   0   0   0   0
M_Sportiello  27 ita 22  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Rossi       28 ita 12  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Caldara     25 ita  1 25  2  1 18 300 373 308 308   3   0  290   0   0   0   5   0   0   0   0   0   0   0
Rafael_Toloi  28 ita  1 24  5  2 19 300 321 328 309   3   0  290   0   0   0   1   2   1   0   0   0   0   0
J_Palomino    29 ita  1 23  5  1 19 300 404 300 303   3   0  290   0   0   0   8   0   1   0   0   0   0   0
B_Djimsiti    26 ita  1 22  6  1 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Sutalo      19 ita  1 20  3  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Czyborra    20 ita  1 13  6  2 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Bellanova   19 ita  1 15  4  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Gomez       31 ita  1  1 25 12  8 300 300 370 351   3   0  244   0   0   0   0   7   5   2   0   0   0   0
R_Malinovskyi 26 ita  1  8 25 11 19 300 297 413 307   3   0  290   0   0   0   0   8   8   0   2   2   0   0
H_Hateboer    25 ita  1 11 18  7 17 300 345 396 311   3   0  290   0   0   0   2   7   1   0   1   0   0   0
R_Freuler     27 ita  1  9 21  9 12 300 323 357 301   3   0  290   0   0   0   2   6   2   0   0   2   0   0
M_de_Roon     28 ita  1 12 19  8 21 300 297 297 298   2   2   46   0   0   0   0   0   1   0   0   2   0   0
R_Gosens      24 ita  1 10 20  8 19 300 308 386 317   3   0  290   0   0   0   0   6   5   0   1   0   0   0
M_Pasalic     24 ita  1  8 21  9 18 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Castagne    23 ita  1 10 17  5 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Tameze      25 ita  1 10 17  6 15 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Ilicic      31 ita  1  1 13 26  9 300 297 307 383   3   0  261   1   0   0   0   1  12   3   0   2   0   0
D_Zapata      28 ita  1  1  6 25 16 300 300 310 414   3   0  253   0   0   0   0   1  16   4   0   0   0   0
L_Muriel      28 ita  1  1  8 22  5 300 300 310 309   3   3   66   0   0   0   0   1   5   0   0   0   0   0
E_Colley      19 ita  1  1  2 16  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Piccoli     18 ita  1  1  2 14  9 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Traore      16 ita  1  1  4 12  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
