Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
L_Skorupski   28 ita 22  1  1  1  5 483 300 300 300   3   0  282   0  20   8   0   0   0   0   0   0   0   0
Da_Costa      35 ita 19  1  1  1  3 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Sarr        22 ita 13  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Danilo        35 ita  1 24  3  1 19 300 462 318 308   3   0  282   1   0   0  11   1   0   0   0   0   0   0
S_Denswil     26 ita  1 21  8  5 18 300 404 300 303   3   0  282   0   0   0   8   0   1   0   0   0   0   0
M_Bani        25 ita  1 20  1  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Tomiyasu    20 ita  1 19  7  1 17 300 313 300 300   1   0   96   0   0   0   1   0   0   0   0   0   0   0
I_Mbaye       24 ita  1 19  7  3 18 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Dijks       26 ita  1 19  8  1 19 300 326 320 300   3   0  282   0   0   0   2   2   0   0   0   0   0   0
G_Corbo       19 ita  1 13  1  1  2 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Bonini      17 ita  1  8  1  1  3 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Soriano     28 ita  1  8 22 10 16 300 293 303 293   2   0  177   0   0   0   0   1   0   0   0  10   0   0
G_Medel       31 ita  1 11 15  2 24 300 339 320 300   2   1   94   0   0   0   3   2   0   0   0   0   0   0
A_Poli        29 ita  1 10 21  7 17 300 306 333 294   2   0   88   0   0   0   1   4   1   0   0  10   0   0
R_Orsolini    22 ita  1  1 20  9  2 300 300 360 303   3   0  282   0   0   0   0   6   1   0   0   0   0   0
N_Dominguez   21 ita  1  9 19  8 24 300 300 300 303   1   1   28   0   0   0   0   0   1   0   0   0   0   0
L_Krejci      26 ita  1  5 21  8 14 300 307 364 297   3   0  282   0   0   0   1   7   1   0   0   4   0   0
J_Schouten    22 ita  1  9 15  5 11 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Svanberg    20 ita  1  4 17  8 13 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Sansone     27 ita  1  1 10 22 11 300 300 330 334   3   0  282   0   0   0   0   3   6   1   0   0   0   0
R_Palacio     37 ita  1  2 10 19 19 300 300 330 332   3   0  282   0   0   0   0   3   6   1   0   0   0   0
F_Santander   28 ita  1  1  7 20 18 300 300 310 307   3   0  201   0   0   0   0   1   5   0   0   0   0   0
A_Olsen       19 ita  1  1  7 19 11 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Barrow      20 ita  1  1  2 16  1 300 300 300 304   3   3   81   0   0   0   0   0   2   0   0   0   0   0
M_Juwara      17 ita  1  1  1 11  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
