Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Joronen     26 ita 20  1  1  1  7 433 300 300 300   3   0  284   0  13   3   0   0   0   0   0   0   0   0 100
E_Alfonso     31 ita 19  1  1  1  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Andrenacci  24 ita 16  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Cistana     22 ita  1 20  4  1 17 300 326 300 300   3   0  284   0   0   0   2   0   0   0   0   0   0   0 100
S_Sabelli     26 ita  1 17  6  1 16 300 317 331 293   2   0  181   1   0   0   1   2   0   0   1  10   0   0 100
J_Chancellor  27 ita  1 17  2  1 16 300 300 300 300   1   0   95   0   0   0   0   0   0   0   0   0   0   0 100
B_Martella    26 ita  1 13  9  5 11 300 313 310 300   3   0  284   0   0   0   1   1   0   0   0   0   0   0 100
A_Mateju      23 ita  1 16  7  1 15 300 326 310 300   3   0  284   0   0   0   2   1   0   0   0   0   0   0 100
D_Gastaldello 36 ita  1 16  3  1 15 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mangraviti  21 ita  1 14  5  3 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Semprini    21 ita  1 13  5  1  6 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Tonali      19 ita  1 10 23  8 18 300 318 315 307   3   0  284   0   0   0   1   1   2   0   0   2   0   0 100
Romulo        32 ita  1  9 21  8 15 300 326 330 330   3   0  284   0   0   0   2   3   4   1   0   0   0   0 100
J_Zmrhal      25 ita  1  5 18  9  7 300 321 308 308   3   3   68   0   0   0   1   0   0   0   0   0   0   0 100
D_Bisoli      25 ita  1  8 17  9 15 300 300 340 307   3   0  216   0   0   0   0   4   3   0   0   0   0   0 100
D_Dessena     32 ita  1  9 17  8 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Spalek      22 ita  1  1 15  8  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Ndoj        22 ita  1  8 16  5 12 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Bjarnason   31 ita  1  7 14  8 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Viviani     18 ita  1  6 14  5 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Balotelli   28 ita  1  1 10 25 15 300 300 320 306   3   0  284   0   0   0   0   2   4   0   0   0   0   0 100
A_Donnarumma  28 ita  1  1  6 22  1 300 300 300 304   3   0  231   0   0   0   0   0   2   0   0   0   0   0 100
F_Aye         22 ita  1  1  4 17 11 300 300 310 303   3   3   53   0   0   0   0   1   1   0   0   0   0   0 100
E_Torregrossa 27 ita  1  1  4 17  1 300 300 300 330   3   0  284   0   0   0   0   0   4   1   0   0   0   0 100
S_Skrabb      24 ita  1  5  7 16  8 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
