Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Cragno      25 ita 25  1  1  1  5 528 300 300 300   3   0  286   0  21   2   0   0   0   0   0   0   0   0
R_Olsen       29 ita 23  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Rafael        37 ita 20  1  1  1  4 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Klavan      33 ita  1 22  7  2 19 300 373 317 297   3   0  286   0   0   0   5   2   0   0   0   2   0   0
L_Ceppitelli  29 ita  1 22  1  1 14 300 347 308 308   3   0  286   0   0   0   3   0   0   0   0   0   0   0
F_Pisacane    33 ita  1 21  4  1 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Cacciatore  32 ita  1 20  6  4 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Pellegrini  20 ita  1 16  7  1  8 300 373 328 311   3   0  286   0   0   0   5   2   1   0   0   0   0   0
S_Walukiewicz 19 ita  1 17  2  1 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Lykogiannis 25 ita  1 14  8  8  8 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Nainggolan  31 ita  1 13 24 12 24 300 339 360 301   3   0  286   0   0   0   3   6   1   0   0   0   0   0
N_Nandez      23 ita  1 11 19  8 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Birsa       32 ita  1  5 22 10  8 300 313 368 300   3   0  286   1   0   0   1   5   0   0   1   0   0   0
M_Rog         23 ita  1  7 22  8 17 300 313 320 304   3   0  286   0   0   0   1   2   2   0   0   0   0   0
G_Pereiro     24 ita  1  1 19 11  9 300 300 300 300   2   1  105   0   0   0   0   0   0   0   0   0   0   0
L_Cigarini    33 ita  1  8 23  8 11 300 313 390 300   2   0  181   0   0   0   1   9   0   0   0   0   2   0
A_Ionita      28 ita  1 11 19  8 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Farago      26 ita  1  8 18  5 13 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Mattiello   23 ita  1  9 18  7 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Oliva       23 ita  1  9 17  6 18 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Joao_Pedro    27 ita  1  1 10 22 18 300 300 348 314   3   0  286   0   0   0   0   3   6   0   1   0   0   0
L_Pavoletti   30 ita  1  1  3 22 15 300 300 300 345   3   0  286   0   0   0   0   0  11   1   0   0   0   0
G_Simeone     23 ita  1  1  6 21 15 300 300 310 327   3   0  286   0   0   0   0   1   3   1   0   0   0   0
A_Paloschi    29 ita  1  1  5 17 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Ragatzu     27 ita  1  1  4 12  2 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
