Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
B_Dragowski   21 ita 21  1  1  1  1 382 300 300 300   3   0  285   0   9   4   0   0   0   0   0   0   0   0
P_Terracciano 29 ita 19  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Pezzella    28 ita  1 24  2  3 21 300 350 300 300   3   0  285   0   0   0   3   0   0   0   0   0   0   0
M_Caceres     32 ita  1 23  7  3 19 300 326 300 300   3   0  227   0   0   0   2   0   0   0   0   0   2   0
N_Milenkovic  21 ita  1 21  7  1 19 300 378 320 300   3   0  285   1   0   0   6   2   0   0   0   0   0   0
Dalbert       25 ita  1 17  8  5 19 300 313 300 300   1   1   58   0   0   0   1   0   0   0   0   0   0   0
Pol_Lirola    21 ita  1 19  8  2 15 300 339 300 300   3   0  258   0   0   0   3   0   0   0   0   0   0   0
F_Ceccherini  27 ita  1 19  1  1 13 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Venuti      24 ita  1 16  3  1 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Igor          21 ita  1 14  2  1 12 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Terzic      19 ita  1 12  2  1 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Ribery      36 ita  1  1 25 10  6 300 300 348 301   3   0  242   0   0   0   0   3   1   0   1   0   0   0
E_Pulgar      25 ita  1 11 21  6 20 300 303 310 290   2   0  104   0   0   0   1   2   0   0   0  12   0   0
M_Badelj      30 ita  1 11 22  7 18 300 300 320 303   3   2  137   0   0   0   0   2   1   0   0   0   0   0
M_Benassi     24 ita  1  9 20  9 17 300 297 357 297   3   0  285   0   0   0   0   6   0   0   0   2   0   0
A_Duncan      26 ita  1 11 20  7 23 300 300 300 300   1   1   27   0   0   0   0   0   0   0   0   0   0   0
R_Ghezzal     27 ita  1  1 20  8  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Castrovilli 22 ita  1  5 20  5  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Agudelo     20 ita  1  3 13  5  9 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Chiesa      21 ita  1  1  9 20 11 300 300 310 311   3   0  243   0   0   0   0   1   5   0   0   0   2   0
P_Cutrone     21 ita  1  1  5 20 11 300 300 300 303   3   0  252   0   0   0   0   0   3   0   0   0   0   0
C_Kouame      21 ita  1  1  7 19  8 300 300 310 331   3   0  285   0   0   0   0   1   5   1   0   0   0   0
C_Thereau     36 ita  1  1  9 15 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Vlahovic    19 ita  1  1  3 17  1 300 300 300 300   3   3   75   0   0   0   0   0   0   0   0   0   0   0
R_Sottil      20 ita  1  1  5 12  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Duncan      18 ita  1  1  4 11 12 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
