Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
M_Perin       26 ita 25  1  1  1  1 403 300 300 300   3   0  289   0   8   1   0   0   0   0   0   0   0   0
Jandrei       26 ita 19  1  1  1  3 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Marchetti   36 ita 19  1  1  1  7 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Vodisek     20 ita 16  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Criscito    32 ita  1 23 11  6 20 300 326 330 300   3   0  289   0   0   0   2   3   0   0   0   0   0   0
A_Soumaoro    27 ita  1 22  5  1 21 300 293 303 293   2   0  140   0   0   0   0   1   0   0   0  10   0   0
C_Zapata      32 ita  1 24  2  1 19 300 355 305 306   3   0  289   0   0   0   3   0   1   0   0   2   0   0
A_Masiello    33 ita  1 23  5  1 20 300 388 325 297   3   0  289   0   0   0   7   1   0   0   1   2   0   0
C_Romero      21 ita  1 20  1  1 24 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Barreca     24 ita  1 18  7  1 11 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Biraschi    24 ita  1 21  5  1 14 300 300 300 300   1   0   78   0   0   0   0   0   0   0   0   0   0   0
E_Goldaniga   25 ita  1 20  1  1 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Ankersen    28 ita  1 16  8  7 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Pajac       26 ita  1 13  9  8 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Schone      33 ita  1  7 25 10 13 300 300 408 303   3   0  289   1   0   0   0   9   1   0   1   0   0   0
V_Behrami     34 ita  1 10 19  7 25 300 293 331 294   2   1   90   0   0   0   0   2   1   0   1  10   0   0
I_Radovanovic 30 ita  1 10 18  6 20 300 313 330 323   3   0  234   0   0   0   1   3   1   1   0   0   0   0
L_Lerager     25 ita  1  9 17  8 18 300 305 335 307   3   3  112   0   0   0   0   3   2   0   0   2   0   0
S_Sturaro     26 ita  1 11 18  8 23 300 313 330 313   3   0  289   0   0   0   1   3   5   0   0   0   0   0
F_Cassata     21 ita  1  4 17  2 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Ghiglione   22 ita  1  7 14  4 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Eriksson    30 ita  1  7 17  3 24 300 300 300 300   1   1   18   0   0   0   0   0   0   0   0   0   0   0
F_Jagiello    21 ita  1  2 14  5  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Rovella     17 ita  1  4 13  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Cleonise    17 ita  1  1  9  5  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Iago_Falque   29 ita  1  1 12 20  4 300 308 338 371   3   0  289   2   0   0   0   3  11   2   0   0   0   0
A_Sanabria    23 ita  1  1  9 19  1 300 300 300 303   2   0   77   0   0   0   0   0   3   0   0   0   0   0
M_Destro      28 ita  1  1  6 19 10 300 308 308 334   3   3   64   0   0   0   0   0   2   1   0   0   0   0
G_Pandev      35 ita  1  1  9 20  6 300 311 330 304   3   0  265   0   0   0   0   3   2   0   0   0   0   0
A_Pinamonti   20 ita  1  1  2 18  6 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Favilli     22 ita  1  1  2 16  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
