Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
I_Radu        22 ita 21  1  1  1  1 403 300 300 300   3   0  290   0   8   1   0   0   0   0   0   0   0   0
L_Sepe        28 ita 21  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Colombi     28 ita 18  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Darmian     29 ita  1 22  8  5 17 300 339 310 300   3   0  290   0   0   0   3   1   0   0   0   0   0   0
Bruno_Alves   37 ita  1 19  7  8 24 300 347 328 312   3   0  290   0   0   0   3   2   2   0   0   0   0   0
V_Laurini     30 ita  1 19  6  1 17 300 350 300 300   2   0  167   0   0   0   3   0   0   0   0   0   3   0
S_Iacoponi    32 ita  1 18  2  1 15 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Gagliolo    29 ita  1 19  3  3 15 300 300 300 300   1   1   25   0   0   0   0   0   0   0   0   0   0   0
G_Pezzella    21 ita  1 16  7  4 16 300 300 300 303   1   0   98   0   0   0   0   0   1   0   0   0   0   0
V_Regini      28 ita  1 19  4  1 15 300 363 310 300   3   0  290   0   0   0   4   1   0   0   0   0   0   0
K_Dermaku     27 ita  1 18  2  1 12 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Kucka       32 ita  1 11 19 10 23 300 326 360 306   3   0  290   0   0   0   2   6   2   0   0   0   0   0
A_Grassi      24 ita  1  8 20  7 14 300 300 370 300   3   0  290   0   0   0   0   7   0   0   0   0   0   0
J_Kurtic      30 ita  1  9 20  9 19 300 313 348 304   3   0  290   0   0   0   1   3   2   0   1   0   0   0
Hernani       25 ita  1 10 17  9 18 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Brugman     26 ita  1  6 20  6 11 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Kulusevski  19 ita  1  5 17  7 13 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Barilla     31 ita  1  8 18  8 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Siligardi   31 ita  1  1 18  8  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Scozzarella 31 ita  1  5 19  6 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Gervinho      32 ita  1  1  9 18  6 300 308 328 344   3   0  290   1   0   0   0   2   8   1   0   0   0   0
R_Inglese     27 ita  1  1  3 21  1 300 313 300 308   3   0  204   0   0   0   1   0   4   0   0   0   3   0
Y_Karamoh     20 ita  1  1  9 17  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Cornelius   26 ita  1  1  5 20 16 300 300 300 301   2   0  193   0   0   0   0   0   1   0   0   0   0   0
G_Caprari     25 ita  1  1  9 17  1 300 300 310 303   2   1  183   0   0   0   0   1   3   0   0   0   0   0
M_Sprocati    25 ita  1  1  7 15  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
