Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Audero      22 ita 22  1  1  1  1 492 300 300 300   3   0  286   0  19   4   0   0   0   0   0   0   0   0
A_Seculin     28 ita 18  1  1  1  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Falcone     24 ita 14  1  1  1  1 300 300 320 300   1   0   94   0   0   0   0   2   0   0   0   0   0   0
L_Tonelli     29 ita  1 23  1  1 23 300 320 294 294   3   0  249   0   0   0   2   0   0   0   0   4   0   0
O_Colley      26 ita  1 19  2  1 22 300 337 300 300   3   0  286   0   0   0   2   0   0   0   0   0   0   0
M_Yoshida     30 ita  1 20  3  1 13 300 339 300 300   2   0  192   0   0   0   3   0   0   0   0   0   0   0
B_Bereszynski 26 ita  1 17  7  5 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Murru       24 ita  1 19  6  1 16 300 313 300 300   2   0  143   0   0   0   1   0   0   0   0   0   0   0
Dodo          27 ita  1 17  9  5 15 300 313 320 300   1   0   94   0   0   0   1   2   0   0   0   0   0   0
J_Chabot      21 ita  1 18  1  1 20 300 300 300 300   2   2   76   0   0   0   0   0   0   0   0   0   0   0
A_Ferrari     25 ita  1 19  3  1 17 300 307 304 294   3   1  202   0   0   0   1   1   0   0   0   4   0   0
F_Depaoli     22 ita  1 16  8  4 11 300 313 300 300   1   0   94   0   0   0   1   0   0   0   0   0   0   0
T_Augello     24 ita  1 16  6  1 11 300 310 307 297   1   0   93   0   0   0   1   1   0   0   0   2   0   0
G_Ramirez     28 ita  1  1 23 11 15 300 300 350 323   3   1  193   1   0   0   0   5   1   1   0   0   0   0
A_Ekdal       29 ita  1  9 21  8 22 300 308 426 308   3   0  247   0   0   0   0  10   0   0   1   0   0   0
K_Linetty     24 ita  1 10 19  7 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Jankto      23 ita  1  8 20  9 14 300 313 300 304   2   1   84   0   0   0   1   0   2   0   0   0   0   0
A_Bertolacci  28 ita  1  9 20  8 15 300 293 303 293   1   1   28   0   0   0   0   1   0   0   0  10   0   0
R_Vieira      20 ita  1  8 16  5 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Maroni      20 ita  1  1 16  4  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Barreto     34 ita  1 10 19  8 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Thorsby     23 ita  1  9 15  6 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Leris       21 ita  1  6 13  7  8 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Askildsen   18 ita  1  5  9  1  6 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Quagliarella  36 ita  1  1 11 27  2 300 300 320 333   3   0  286   0   0   0   0   2   5   1   0   0   0   0
M_Gabbiadini  27 ita  1  1  9 23  9 300 300 310 301   2   0  192   0   0   0   0   1   1   0   0   0   0   0
F_Bonazzoli   22 ita  1  1  3 14  2 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_La_Gumina   23 ita  1  1  5 16 15 300 305 305 312   3   0  286   0   0   0   0   0   3   0   0   2   0   0
