Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Consigli    32 ita 25  1  1  1  1 421 300 300 300   3   0  283   0   8   0   0   0   0   0   0   0   0   0
G_Pegolo      38 ita 18  1  1  1  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Turati      17 ita 10  1  1  1  2 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Russo       18 ita  8  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Chiriches   29 ita  1 23  5  7 18 300 365 330 303   2   0  188   1   0   0   5   3   1   0   0   0   0   0
Marlon        23 ita  1 20  6  1 18 300 300 300 300   1   0   45   0   0   0   0   0   0   0   0   0   0   0
G_Ferrari     27 ita  1 22  1  1 18 300 339 300 300   3   0  283   0   0   0   3   0   0   0   0   0   0   0
F_Peluso      35 ita  1 20  5  3 14 300 319 318 308   3   3  116   0   0   0   0   1   0   0   0   0   0   0
F_Romagna     22 ita  1 20  3  1 16 300 300 300 300   1   0   59   0   0   0   0   0   0   0   0   0   0   0
Rogerio       21 ita  1 16  8  4 13 300 333 332 294   2   0  189   1   0   0   3   2   0   0   1   4   0   0
G_Magnani     23 ita  1 19  2  1 13 300 321 308 308   2   0  189   0   0   0   1   0   0   0   0   0   0   0
M_Muldur      20 ita  1 16  5  3 12 300 322 300 300   2   2   49   0   0   0   0   0   0   0   0   0   0   0
Kyriakopoulos 23 ita  1 13  5  2 15 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Tripaldelli 20 ita  1 12  2  1 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Fontanesi   23 ita  1 13  1  1  9 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Piccinini   16 ita  1  8  1  1  3 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Obiang      27 ita  1 11 20  6 16 300 300 300 300   1   0   94   0   0   0   0   0   0   0   0   0   0   0
M_Locatelli   21 ita  1 11 20  7 15 300 313 320 301   3   0  124   0   0   0   1   2   1   0   0   0   1   0
F_Magnanelli  34 ita  1 11 17  5 23 300 300 328 300   1   0   94   0   0   0   0   1   0   0   1   0   0   0
F_Duricic     27 ita  1  1 19  8  3 300 308 356 311   3   0  283   0   0   0   0   3   1   0   1   0   0   0
M_Bourabia    27 ita  1  7 17  6  9 300 321 318 337   3   1  281   0   0   0   1   1   3   1   0   0   0   0
L_Haraslin    23 ita  1  1 16  7  1 300 300 300 300   1   1   14   0   0   0   0   0   0   0   0   0   0   0
H_Traore      19 ita  1  5 17  8  8 300 300 300 300   1   1   13   0   0   0   0   0   0   0   0   0   0   0
D_Berardi     24 ita  1  1 10 22 23 300 308 308 378   3   0  283   1   0   0   0   0   4   3   0   0   0   0
G_Defrel      28 ita  1  1  8 23  7 300 318 333 306   1   0   94   0   0   0   1   1   1   0   1   2   0   0
F_Caputo      31 ita  1  1  5 22  5 300 300 310 333   3   0  270   0   0   0   0   1   5   1   0   0   0   0
J_Boga        22 ita  1  1  8 19  8 300 300 300 306   2   0  162   0   0   0   0   0   2   0   0   0   0   0
A_Matri       34 ita  1  1  5 16  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Raspadori   19 ita  1  1  2 16  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Pellegrini  18 ita  1  1  1  9  3 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
