Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
E_Berisha     30 ita 22  1  1  1  3 416 300 300 300   3   0  287   0  15   7   0   0   0   0   0   0   0   0
K_Letica      22 ita 19  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Thiam       21 ita  7  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Felipe        34 ita  1 22  3  1 15 300 365 300 300   3   0  287   0   0   0   5   0   0   0   0   0   0   0
F_Vicari      24 ita  1 20  3  1 14 300 378 300 304   3   0  287   0   0   0   6   0   2   0   0   0   0   0
N_Tomovic     31 ita  1 19  6  1 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Zukanovic   32 ita  1 20  7  3 15 300 313 310 301   3   0  287   0   0   0   1   1   1   0   0   0   0   0
K_Bonifazi    23 ita  1 20  1  1 15 300 365 300 300   3   0  287   0   0   0   5   0   0   0   0   0   0   0
J_Sala        27 ita  1 18  9  6 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Salamon     28 ita  1 19  5  2 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Thiago_Cionek 33 ita  1 19  1  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Fares       23 ita  1 15  8  7 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Reca        24 ita  1 13  7  5  8 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Castro      30 ita  1  7 23  8 13 300 300 466 302   3   0  273   0   0   0   0  13   2   0   2   0   0   0
S_Missiroli   33 ita  1  8 20  8 12 300 300 320 300   1   1   34   0   0   0   0   2   0   0   0   0   0   0
B_Dabo        27 ita  1 10 19  8 21 300 300 300 324   2   1   86   0   0   0   0   0   2   1   0   0   0   0
M_Valdifiori  33 ita  1  9 23  5 16 300 300 350 301   3   0  253   0   0   0   0   5   1   0   0   0   0   0
A_Murgia      22 ita  1  9 17  7  9 300 300 300 300   1   1   14   0   0   0   0   0   0   0   0   0   0   0
M_DAlessandro 28 ita  1  1 13  7  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Valoti      25 ita  1  2 20  6  4 300 300 350 303   3   0  287   0   0   0   0   5   1   0   0   0   0   0
Strefezza     22 ita  1  1  9  2  5 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Tunjov      18 ita  1  3  8  1 10 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Petagna     24 ita  1  1  8 20 11 300 313 320 329   3   0  287   0   0   0   1   2   5   1   0   0   0   0
F_DiFrancesco 25 ita  1  1 10 16  1 300 300 300 304   1   1   34   0   0   0   0   0   2   0   0   0   0   0
S_Floccari    37 ita  1  1  6 20  4 300 300 328 344   3   0  287   1   0   0   0   1  10   1   1   0   0   0
A_Cerri       23 ita  1  1  4 19  1 300 300 300 300   2   0  167   0   0   0   0   0   0   0   0   0   0   0
