Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Sirigu      32 ita 26  1  1  1  5 352 300 300 300   3   0  282   0   5   2   0   0   0   0   0   0   0   0
S_Ujkani      30 ita 17  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Rosati      36 ita 17  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Izzo        27 ita  1 26  2  1 21 300 365 310 306   3   0  282   0   0   0   5   1   2   0   0   0   0   0
N_Nkoulou     29 ita  1 25  7  1 20 300 391 320 300   3   0  282   0   0   0   7   2   0   0   0   0   0   0
C_Ansaldi     32 ita  1 22 11  7 19 300 347 347 297   3   0  282   0   0   0   3   5   0   0   0   2   0   0
L_DeSilvestri 31 ita  1 22 10  8 16 300 334 338 309   3   0  217   0   0   0   2   3   1   0   0   0   0   0
O_Aina        22 ita  1 18  9  6 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Djidji      26 ita  1 21  5  1 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Lyanco        22 ita  1 19  4  1 19 300 300 338 300   3   3   65   0   0   0   0   2   0   0   1   0   0   0
Bremer        22 ita  1 19  2  1 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Singo       18 ita  1 14  1  1  7 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Baselli     27 ita  1  8 23 10 13 300 300 436 303   3   0  282   1   0   0   0  10   3   0   2   0   0   0
S_Meite       25 ita  1 11 20  6 19 300 308 318 308   3   3   59   0   0   0   0   1   0   0   0   0   0   0
T_Rincón     31 ita  1 11 19  6 21 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Berenguer   23 ita  1  7 20 10 16 300 308 348 313   3   0  223   0   0   0   0   4   3   0   0   0   0   0
S_Lukic       22 ita  1  9 21  6 12 300 300 418 311   3   0  282   0   0   0   0  10   5   0   1   0   0   0
M_Adopo       18 ita  1  4 11  2 12 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Belotti     25 ita  1  1  5 25 22 300 297 307 376   3   0  282   1   0   0   0   1  19   2   0   2   0   0
S_Zaza        28 ita  1  3  7 23 24 300 300 320 344   3   0  282   0   0   0   0   2  10   1   0   0   0   0
S_Verdi       26 ita  1  2 11 20  4 300 308 328 414   3   0  226   1   0   0   0   2  12   4   0   0   0   0
S_Edera       22 ita  1  1  7 16  1 300 300 310 306   3   3   56   0   0   0   0   1   4   0   0   0   0   0
V_Millico     18 ita  1  1  5  8  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
