Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Musso       25 ita 23  1  1  1  1 367 300 300 300   3   0  286   0   7   3   0   0   0   0   0   0   0   0
Nicolas       31 ita 17  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Perisan     21 ita 14  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Gasparini   17 ita 10  1  1  1  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_De_Maio     32 ita  1 23  1  1 17 300 339 300 300   3   0  286   0   0   0   3   0   0   0   0   0   0   0
Troost_Ekong  25 ita  1 22  2  1 18 300 339 300 300   3   0  286   0   0   0   3   0   0   0   0   0   0   0
Rodrigo_Becao 23 ita  1 21  5  1 17 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_Larsen      28 ita  1 19  8  5 17 300 305 325 306   3   0  286   0   0   0   0   2   1   0   0   2   0   0
B_Nuytinck    29 ita  1 22  2  1 17 300 363 300 304   3   0  286   0   0   0   4   0   2   0   0   0   0   0
S_Prodl       32 ita  1 20  3  1 22 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Zeegelaar   28 ita  1 20  8  7 16 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Samir         24 ita  1 20  5  1 19 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_ter_Avest   22 ita  1 16  5  1 14 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_De_Paul     25 ita  1  3 23 11  9 300 313 390 302   3   0  286   0   0   0   1   9   2   0   0   0   0   0
R_Mandragora  22 ita  1 10 20  7 14 300 313 320 303   3   0  188   0   0   0   1   2   1   0   0   0   0   0
S_Fofana      24 ita  1  8 17  8 18 300 300 320 328   3   0  286   1   0   0   0   2   4   1   0   0   0   0
M_Jajalo      31 ita  1 10 20  7 18 300 313 310 301   3   0  286   0   0   0   1   1   1   0   0   0   0   0
K_Sema        25 ita  1  4 18  8 12 300 300 300 300   3   3   98   0   0   0   0   0   0   0   0   0   0   0
Walace        24 ita  1  8 16  8 20 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Rovini      24 ita  1  1  8  5  1 300 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Okaka       29 ita  1  1  5 20 17 300 305 305 317   3   0  259   0   0   0   0   0   4   0   0   2   0   0
K_Lasagna     26 ita  1  1  6 20  1 300 300 300 305   2   0  142   0   0   0   0   0   5   0   0   0   0   0
I_Nestorovski 29 ita  1  1  4 20 16 300 300 300 301   1   0   96   0   0   0   0   0   1   0   0   0   0   0
L_Teodorczyk  28 ita  1  1  6 19 17 300 300 300 307   3   3   75   0   0   0   0   0   3   0   0   0   0   0
