Pl   Team                      P    W   D   L    GF   GA   GD   Pts
-------------------------------------------------------------------
1    Sassuolo                  3    3   0   0     5    0    5     9
2    Atalanta                  3    2   1   0     9    4    5     7
3    Torino                    3    2   1   0     7    2    5     7
4    Genoa                     3    2   1   0     4    1    3     7
5    Parma                     3    1   1   1     1    1    0     4
6    Cagliari                  3    1   0   2     2    2    0     3
7    Brescia                   3    1   0   2     2    3   -1     3
8    Sampdoria                 3    1   0   2     2    4   -2     3
9    Udinese                   3    1   0   2     1    3   -2     3
10   Bologna                   3    1   0   2     2    8   -6     3
11   Fiorentina                3    0   2   1     1    4   -3     2
12   Spal                      3    0   0   3     3    7   -4     0
